year,topic,state_abbr,likes_pro,likes_anti,likes_neutral,likes,likes_total,n_posts,impressions,stance_bias,share_in_state,weighted_stance_bias,stance_bias_z,state,democrat_pct,republican_pct,dem_minus_rep
2024,Abortion,AK,2848.9384189957646,2759.838692499981,1965.6760529138342,7574.453164409579,7574.453164409579,3596,53282686.142049,0.011763189310409962,0.07013486958408559,0.0008250097481785123,-0.6371992386420142,Alaska,41.41,54.54,-13.130000000000004
2024,Abortion,AL,8424.660110646786,13803.393521344437,10474.523258175212,32702.576890166434,32702.576890166434,4355,105200200.1509245,-0.16447429903650862,0.06745192526843821,-0.011094108127189339,-1.3594418615019686,Alabama,34.1,64.57,-30.46999999999999
2024,Abortion,AR,6451.234054188293,8647.869760799305,6515.215439079988,21614.31925406759,21614.31925406759,3985,74573194.349278,-0.1016287249573048,0.07056661747116373,-0.0071715953581442385,-1.1018930693360516,Arkansas,33.56,64.2,-30.64
2024,Abortion,AZ,57532.608080475096,17996.36062708742,12879.760699404505,88408.72940696702,88408.72940696702,4735,685068927.0665025,0.44719845787391266,0.104121311096033,0.046562889753955866,1.1472673547195988,Arizona,46.69,52.22,-5.530000000000001
2024,Abortion,CA,108090.51008233684,32997.96071711735,37119.821679288936,178208.29247874313,178208.29247874313,4714,889035322.5054895,0.4213751690268656,0.09496935783728201,0.04001772921105759,1.0414403820209859,California,58.47,38.33,20.14
2024,Abortion,CO,18267.77448486239,8816.796570544871,7546.364295835929,34630.93535124319,34630.93535124319,4484,168277224.961602,0.27290564977414755,0.08426446199456443,0.022996247753495565,0.4329942676008898,Colorado,54.13,43.14,10.990000000000002
2024,Abortion,CT,11051.082218725885,4233.032628027797,4478.790609210964,19762.905455964647,19762.905455964647,4139,95729146.681632,0.34499226876786643,0.08941405162682847,0.030847156530466692,0.728413983709435,Connecticut,56.4,41.89,14.509999999999998
2024,Abortion,DC,3793.046764131279,131.2032472628201,496.6392504290517,4420.889261823151,4420.889261823151,2111,67033596.753866,0.8283047368977376,0.11279680955936978,0.093430131664978,2.7090871532901537,District of Columbia,90.28,6.47,83.81
2024,Abortion,DE,3238.660165332646,1625.983233974372,1532.6007362051237,6397.244135512143,6397.244135512143,3748,34868520.5026595,0.25208932115096905,0.08719386074509108,0.021980641163762138,0.34768642575554815,Delaware,56.49,41.79,14.700000000000005
2024,Abortion,FL,59181.13504982034,61102.42827095455,38072.579342418525,158356.1426631934,158356.1426631934,4742,545416265.155478,-0.012132735673036679,0.08889022161329652,-0.0010784815627517786,-0.735127640241429,Florida,42.99,56.09,-13.1
2024,Abortion,GA,53010.59191016965,21276.81149700863,20694.15405712555,94981.55746430383,94981.55746430383,4757,753128974.491308,0.33410465421234303,0.09414840577152303,0.031455420554938066,0.68379521748082,Georgia,48.53,50.72,-2.1899999999999977
2024,Abortion,HI,3696.763376084795,1518.5531145065356,1597.4699973076426,6812.786487898973,6812.786487898973,3623,25868229.556088,0.31972384067036974,0.08475021894379178,0.027096665498363835,0.6248608977237808,Hawaii,60.59,37.48,23.110000000000007
2024,Abortion,IA,13701.934239588261,8753.908724826935,7139.636045472619,29595.47900988782,29595.47900988782,4134,94911417.5076845,0.16718855988471062,0.0756247764747088,0.012643597470409709,-0.0002472010505980015,Iowa,42.52,55.73,-13.209999999999994
2024,Abortion,ID,4714.70052766641,6707.007919659392,4316.907629106543,15738.616076432347,15738.616076432347,3808,53650678.0049265,-0.1265872032405915,0.07778923466437002,-0.009847121658388672,-1.2041759433544919,Idaho,30.38,66.87,-36.49000000000001
2024,Abortion,IL,34008.48734346419,19615.798092840094,16979.345376054178,70603.63081235846,70603.63081235846,4675,294507569.4020175,0.20385197028854218,0.08274572635503051,0.01686787935042952,0.15000390580204473,Illinois,54.37,43.47,10.9
2024,Abortion,IN,16459.112180173128,16897.41150197153,13071.900717342001,46428.42439948666,46428.42439948666,4513,169740017.5101755,-0.009440322980317342,0.07469244480240389,-0.0007051208031242181,-0.72409380616191,Indiana,39.62,58.58,-18.96
2024,Abortion,KS,7660.2241398016495,8282.485682804923,6019.224166305417,21961.933988911987,21961.933988911987,4060,80192374.174137,-0.028333640530812887,0.07515443034436652,-0.002129398613675297,-0.8015209151736715,Kansas,41.04,57.16,-16.119999999999997
2024,Abortion,KY,10036.201606015837,12716.23386982009,10002.28179103061,32754.717266866537,32754.717266866537,4336,105625255.9847015,-0.08182126079638838,0.06871320767098066,-0.005622201285003703,-1.0207196765353994,Kentucky,33.94,64.47,-30.53
2024,Abortion,LA,7671.855687961192,10506.562975396364,8387.515956860396,26565.93462021795,26565.93462021795,4243,96725967.062774,-0.10670459473606561,0.06295480257156526,-0.006717566695087892,-1.1226945999110414,Louisiana,38.21,60.22,-22.01
2024,Abortion,MA,29209.032114489142,8616.069079688094,8152.416340349093,45977.51753452633,45977.51753452633,4453,175794774.593214,0.447892016339007,0.10399693089195519,0.04657939507026618,1.150109641509061,Massachusetts,61.22,36.02,25.2
2024,Abortion,MD,21881.33643270393,7675.257005362262,8020.1172735949895,37576.71071166118,37576.71071166118,4537,178983129.627003,0.37805542737228187,0.09989288983595082,0.037765049158382656,0.8639108216096739,Maryland,62.62,34.08,28.54
2024,Abortion,ME,6697.741616239227,3597.8666868002,3130.558401591292,13426.16670463072,13426.16670463072,3819,76407729.0346285,0.230883095498127,0.0790602659569514,0.01825367893504613,0.26078073854829803,Maine,52.4,45.46,6.939999999999998
2024,Abortion,MI,91548.55072942234,24787.084356943484,20333.93126104369,136669.5663474095,136669.5663474095,4766,1154558251.924026,0.4884881700932117,0.10136611279665869,0.0495161469495019,1.3164776080551268,Michigan,48.31,49.73,-1.4199999999999946
2024,Abortion,MN,23255.305865857707,14928.795141577835,11750.441064865941,49934.54207230148,49934.54207230148,4519,235849794.18834502,0.1667485147300181,0.0815392813327419,0.0135965540543878,-0.002050559516966595,Minnesota,50.92,46.68,4.240000000000002
2024,Abortion,MO,15869.10816678358,16716.472315438725,11978.230532414209,44563.811014636514,44563.811014636514,4424,162587549.720376,-0.019014624857304874,0.07497994355976681,-0.0014257154986108585,-0.7633304575948704,Missouri,40.08,58.49,-18.410000000000004
2024,Abortion,MS,3987.12380924184,7682.339633677135,5927.956281823552,17597.419724742525,17597.419724742525,3841,55248394.313544,-0.20998622992663551,0.06236535679126699,-0.01309586615062765,-1.5459552795370761,Mississippi,38.0,60.89,-22.89
2024,Abortion,MT,4477.691186674436,3466.4807217579914,2567.4108473817,10511.582755814126,10511.582755814126,3765,113991932.423041,0.09619963885620626,0.07978691553003804,0.007675472459440295,-0.29116841763477436,Montana,38.46,58.39,-19.93
2024,Abortion,NC,76446.6648212983,24872.98032044766,22493.93716591996,123813.58230766593,123813.58230766593,4804,878128884.0007385,0.4165430281525539,0.09894775900186499,0.041215999163545965,1.0216376820856476,North Carolina,47.65,50.86,-3.210000000000001
