likes_pro,likes_anti,likes_neutral,likes_total,bias,topic,date
20377.0,90876.0,132089.0,243342.0,-0.2897115993129012,Abortion,2020-07-24 00:00:00+00:00
23280.0,88745.0,142862.0,254887.0,-0.2568393052607626,Abortion,2020-07-25 00:00:00+00:00
24769.0,83077.0,142336.0,250182.0,-0.23306233062330622,Abortion,2020-07-26 00:00:00+00:00
25557.0,68949.0,141649.0,236155.0,-0.18374372763650992,Abortion,2020-07-27 00:00:00+00:00
20617.0,73698.0,132290.0,226605.0,-0.2342446106661371,Abortion,2020-07-28 00:00:00+00:00
17439.0,61658.0,131440.0,210537.0,-0.21002959099825683,Abortion,2020-07-29 00:00:00+00:00
17979.0,53699.0,90951.0,162629.0,-0.21964102343370492,Abortion,2020-07-30 00:00:00+00:00
15385.0,42465.0,91450.0,149300.0,-0.18137977227059612,Abortion,2020-07-31 00:00:00+00:00
12311.0,37775.0,64347.0,114433.0,-0.222523223196106,Abortion,2020-08-01 00:00:00+00:00
13177.0,44352.0,85125.0,142654.0,-0.21853575784765938,Abortion,2020-08-02 00:00:00+00:00
13740.0,71758.0,97443.0,182941.0,-0.3171404988493558,Abortion,2020-08-03 00:00:00+00:00
21814.0,62555.0,101140.0,185509.0,-0.21961737705448253,Abortion,2020-08-04 00:00:00+00:00
24113.0,69603.0,96118.0,189834.0,-0.23963041394060072,Abortion,2020-08-05 00:00:00+00:00
23314.0,72859.0,94623.0,190796.0,-0.25967525524644125,Abortion,2020-08-06 00:00:00+00:00
27711.0,74142.0,90494.0,192347.0,-0.2413918595039174,Abortion,2020-08-07 00:00:00+00:00
34534.0,96250.0,279419.0,410203.0,-0.15045233701362495,Abortion,2020-08-08 00:00:00+00:00
47192.0,244429.0,410666.0,702287.0,-0.2808495671997346,Abortion,2020-08-09 00:00:00+00:00
54661.0,259684.0,477131.0,791476.0,-0.2590388085046167,Abortion,2020-08-10 00:00:00+00:00
58567.0,288786.0,507602.0,854955.0,-0.2692761607336059,Abortion,2020-08-11 00:00:00+00:00
60072.0,305369.0,532391.0,897832.0,-0.2732103556121858,Abortion,2020-08-12 00:00:00+00:00
66952.0,309270.0,538370.0,914592.0,-0.2649465554039397,Abortion,2020-08-13 00:00:00+00:00
65619.0,312341.0,552371.0,930331.0,-0.2651980854126112,Abortion,2020-08-14 00:00:00+00:00
80474.0,321230.0,414008.0,815712.0,-0.29514828763092854,Abortion,2020-08-15 00:00:00+00:00
69679.0,179415.0,268527.0,517621.0,-0.2120006723065718,Abortion,2020-08-16 00:00:00+00:00
63374.0,159688.0,226484.0,449546.0,-0.21424726279401884,Abortion,2020-08-17 00:00:00+00:00
60283.0,170956.0,383574.0,614813.0,-0.18001083256209613,Abortion,2020-08-18 00:00:00+00:00
64187.0,149235.0,367403.0,580825.0,-0.1464262041062282,Abortion,2020-08-19 00:00:00+00:00
58267.0,151098.0,355848.0,565213.0,-0.16424073756265337,Abortion,2020-08-20 00:00:00+00:00
60712.0,152867.0,352717.0,566296.0,-0.1627329170610423,Abortion,2020-08-21 00:00:00+00:00
39020.0,137731.0,318413.0,495164.0,-0.1993501143055634,Abortion,2020-08-22 00:00:00+00:00
60655.0,130747.0,316478.0,507880.0,-0.138008978498858,Abortion,2020-08-23 00:00:00+00:00
66962.0,163970.0,289596.0,520528.0,-0.1863646143915409,Abortion,2020-08-24 00:00:00+00:00
75054.0,191399.0,101938.0,368391.0,-0.31581933326275613,Abortion,2020-08-25 00:00:00+00:00
68560.0,206670.0,96971.0,372201.0,-0.3710629471710178,Abortion,2020-08-26 00:00:00+00:00
70545.0,201224.0,98865.0,370634.0,-0.35258233189615634,Abortion,2020-08-27 00:00:00+00:00
70040.0,210168.0,96589.0,376797.0,-0.3718925575309782,Abortion,2020-08-28 00:00:00+00:00
71231.0,218105.0,86337.0,375673.0,-0.3909623528973336,Abortion,2020-08-29 00:00:00+00:00
50899.0,217466.0,85773.0,354138.0,-0.4703448937984627,Abortion,2020-08-30 00:00:00+00:00
43786.0,181692.0,99152.0,324630.0,-0.42480978344576903,Abortion,2020-08-31 00:00:00+00:00
28031.0,132227.0,196023.0,356281.0,-0.29245455132325326,Abortion,2020-09-01 00:00:00+00:00
26701.0,125029.0,191860.0,343590.0,-0.2861782938967956,Abortion,2020-09-02 00:00:00+00:00
24058.0,129076.0,194386.0,347520.0,-0.30219267955801105,Abortion,2020-09-03 00:00:00+00:00
21287.0,110335.0,179065.0,310687.0,-0.28661643390293123,Abortion,2020-09-04 00:00:00+00:00
20237.0,95580.0,187069.0,302886.0,-0.24875035491901243,Abortion,2020-09-05 00:00:00+00:00
13223.0,91148.0,172767.0,277138.0,-0.2811776082673614,Abortion,2020-09-06 00:00:00+00:00
12497.0,82806.0,159443.0,254746.0,-0.2759964827710739,Abortion,2020-09-07 00:00:00+00:00
16970.0,81766.0,60218.0,158954.0,-0.4076399461479422,Abortion,2020-09-08 00:00:00+00:00
25304.0,73559.0,61806.0,160669.0,-0.30033796189681894,Abortion,2020-09-09 00:00:00+00:00
25313.0,65974.0,59233.0,150520.0,-0.27013685888918415,Abortion,2020-09-10 00:00:00+00:00
21265.0,68893.0,67171.0,157329.0,-0.3027286768491505,Abortion,2020-09-11 00:00:00+00:00
34054.0,71567.0,58061.0,163682.0,-0.229182194743466,Abortion,2020-09-12 00:00:00+00:00
36060.0,76659.0,58414.0,171133.0,-0.23723653532632513,Abortion,2020-09-13 00:00:00+00:00
36411.0,74472.0,59549.0,170432.0,-0.2233207378895982,Abortion,2020-09-14 00:00:00+00:00
32546.0,57042.0,65900.0,155488.0,-0.15754270426013584,Abortion,2020-09-15 00:00:00+00:00
138943.0,68070.0,157071.0,364084.0,0.19466112215862275,Abortion,2020-09-16 00:00:00+00:00
155052.0,81361.0,215823.0,452236.0,0.1629481067407283,Abortion,2020-09-17 00:00:00+00:00
