likes_pro,likes_anti,likes_neutral,likes_total,bias,topic,date
38067.0,33145.0,34945.0,106157.0,0.046365289147206494,Abortion,2024-08-01 00:00:00+00:00
40939.0,36861.0,42566.0,120366.0,0.03387999933536048,Abortion,2024-08-02 00:00:00+00:00
269260.0,50210.0,70662.0,390132.0,0.5614766284232003,Abortion,2024-08-03 00:00:00+00:00
329189.0,65985.0,99104.0,494278.0,0.5325019523426088,Abortion,2024-08-04 00:00:00+00:00
333308.0,61073.0,97436.0,491817.0,0.5535290565393226,Abortion,2024-08-05 00:00:00+00:00
330272.0,57418.0,100710.0,488400.0,0.5586691236691237,Abortion,2024-08-06 00:00:00+00:00
355743.0,52156.0,95333.0,503232.0,0.6032744340582474,Abortion,2024-08-07 00:00:00+00:00
354802.0,62436.0,89217.0,506455.0,0.5772793239280883,Abortion,2024-08-08 00:00:00+00:00
355475.0,61753.0,90678.0,507906.0,0.5782999216390434,Abortion,2024-08-09 00:00:00+00:00
130271.0,55984.0,71569.0,257824.0,0.2881306627777088,Abortion,2024-08-10 00:00:00+00:00
74520.0,42702.0,62321.0,179543.0,0.17721659992313818,Abortion,2024-08-11 00:00:00+00:00
63905.0,50987.0,59810.0,174702.0,0.0739430573204657,Abortion,2024-08-12 00:00:00+00:00
62695.0,51750.0,50062.0,164507.0,0.06653212325311385,Abortion,2024-08-13 00:00:00+00:00
42236.0,49859.0,54193.0,146288.0,-0.05210953735097889,Abortion,2024-08-14 00:00:00+00:00
35540.0,72538.0,76499.0,184577.0,-0.20044750971139416,Abortion,2024-08-15 00:00:00+00:00
39448.0,100870.0,84069.0,224387.0,-0.2737324354797738,Abortion,2024-08-16 00:00:00+00:00
58219.0,112918.0,91003.0,262140.0,-0.2086633096818494,Abortion,2024-08-17 00:00:00+00:00
74053.0,114858.0,82737.0,271648.0,-0.1502127753563435,Abortion,2024-08-18 00:00:00+00:00
80361.0,110555.0,97784.0,288700.0,-0.10458607551091098,Abortion,2024-08-19 00:00:00+00:00
96223.0,134633.0,114869.0,345725.0,-0.11109986260756381,Abortion,2024-08-20 00:00:00+00:00
97978.0,136328.0,114170.0,348476.0,-0.11005062041575317,Abortion,2024-08-21 00:00:00+00:00
109884.0,111088.0,97591.0,318563.0,-0.0037794721923136085,Abortion,2024-08-22 00:00:00+00:00
112323.0,104991.0,88642.0,305956.0,0.023964230150740628,Abortion,2024-08-23 00:00:00+00:00
113367.0,95993.0,76857.0,286217.0,0.06070219448879696,Abortion,2024-08-24 00:00:00+00:00
115713.0,110684.0,72876.0,299273.0,0.016804055160338553,Abortion,2024-08-25 00:00:00+00:00
119925.0,101516.0,60505.0,281946.0,0.06529264469082732,Abortion,2024-08-26 00:00:00+00:00
130052.0,94414.0,50682.0,275148.0,0.12952302033814528,Abortion,2024-08-27 00:00:00+00:00
138607.0,99066.0,52944.0,290617.0,0.136058799037909,Abortion,2024-08-28 00:00:00+00:00
123475.0,211886.0,48229.0,383590.0,-0.23048306785891187,Abortion,2024-08-29 00:00:00+00:00
116004.0,190464.0,45587.0,352055.0,-0.21150104387098606,Abortion,2024-08-30 00:00:00+00:00
111811.0,188361.0,64603.0,364775.0,-0.20985539030909464,Abortion,2024-08-31 00:00:00+00:00
98791.0,170911.0,69004.0,338706.0,-0.21292802607571168,Abortion,2024-09-01 00:00:00+00:00
86843.0,175106.0,66115.0,328064.0,-0.26904201619196255,Abortion,2024-09-02 00:00:00+00:00
59120.0,157915.0,57769.0,274804.0,-0.3595107785912869,Abortion,2024-09-03 00:00:00+00:00
48937.0,150388.0,63123.0,262448.0,-0.3865565750167652,Abortion,2024-09-04 00:00:00+00:00
46078.0,27266.0,60621.0,133965.0,0.14042473780465048,Abortion,2024-09-05 00:00:00+00:00
54764.0,36913.0,60308.0,151985.0,0.11745238016909564,Abortion,2024-09-06 00:00:00+00:00
47293.0,62201.0,76737.0,186231.0,-0.0800511193088154,Abortion,2024-09-07 00:00:00+00:00
109248.0,100977.0,129035.0,339260.0,0.024379531922419383,Abortion,2024-09-08 00:00:00+00:00
116089.0,102901.0,140361.0,359351.0,0.03669949436623246,Abortion,2024-09-09 00:00:00+00:00
118185.0,111688.0,149668.0,379541.0,0.01711804521777621,Abortion,2024-09-10 00:00:00+00:00
115706.0,119076.0,139967.0,374749.0,-0.008992685771009395,Abortion,2024-09-11 00:00:00+00:00
114544.0,123325.0,152161.0,390030.0,-0.022513652795938775,Abortion,2024-09-12 00:00:00+00:00
105417.0,118513.0,149679.0,373609.0,-0.03505268877355738,Abortion,2024-09-13 00:00:00+00:00
125576.0,95469.0,144229.0,365274.0,0.08242305775938064,Abortion,2024-09-14 00:00:00+00:00
77542.0,59120.0,84715.0,221377.0,0.08321551019301915,Abortion,2024-09-15 00:00:00+00:00
88260.0,65719.0,96262.0,250241.0,0.0900771656123497,Abortion,2024-09-16 00:00:00+00:00
103916.0,69663.0,96247.0,269826.0,0.126944771815911,Abortion,2024-09-17 00:00:00+00:00
106973.0,71913.0,102237.0,281123.0,0.1247140931193819,Abortion,2024-09-18 00:00:00+00:00
109672.0,90234.0,93522.0,293428.0,0.06624453017435282,Abortion,2024-09-19 00:00:00+00:00
117037.0,90348.0,92152.0,299537.0,0.08910084563843532,Abortion,2024-09-20 00:00:00+00:00
181706.0,88531.0,60937.0,331174.0,0.28134756955558105,Abortion,2024-09-21 00:00:00+00:00
177052.0,117782.0,74417.0,369251.0,0.16051412183040803,Abortion,2024-09-22 00:00:00+00:00
159825.0,107125.0,57959.0,324909.0,0.16219926194719136,Abortion,2024-09-23 00:00:00+00:00
151126.0,101101.0,45085.0,297312.0,0.16825758798837584,Abortion,2024-09-24 00:00:00+00:00
149241.0,94346.0,39870.0,283457.0,0.1936625308247812,Abortion,2024-09-25 00:00:00+00:00
149752.0,82945.0,38011.0,270708.0,0.24678620506228113,Abortion,2024-09-26 00:00:00+00:00
147469.0,75380.0,48475.0,271324.0,0.265693414515487,Abortion,2024-09-27 00:00:00+00:00
69719.0,69318.0,61280.0,200317.0,0.0020018271040400963,Abortion,2024-09-28 00:00:00+00:00
107421.0,63532.0,76460.0,247413.0,0.17739164878159192,Abortion,2024-09-29 00:00:00+00:00
113058.0,63829.0,71436.0,248323.0,0.19824583304808657,Abortion,2024-09-30 00:00:00+00:00
114456.0,69778.0,70315.0,254549.0,0.1755182695669596,Abortion,2024-10-01 00:00:00+00:00
112063.0,74515.0,70502.0,257080.0,0.14605570250505678,Abortion,2024-10-02 00:00:00+00:00
119374.0,63940.0,78955.0,262269.0,0.21136314242247464,Abortion,2024-10-03 00:00:00+00:00
130715.0,70856.0,68862.0,270433.0,0.22134502815854573,Abortion,2024-10-04 00:00:00+00:00
123717.0,78129.0,72805.0,274651.0,0.16598519575752502,Abortion,2024-10-05 00:00:00+00:00
73702.0,56294.0,41728.0,171724.0,0.10137196897346905,Abortion,2024-10-06 00:00:00+00:00
73362.0,51774.0,46430.0,171566.0,0.1258291269832018,Abortion,2024-10-07 00:00:00+00:00
63813.0,42064.0,58165.0,164042.0,0.13258189975737922,Abortion,2024-10-08 00:00:00+00:00
73025.0,49546.0,59399.0,181970.0,0.12902676265318458,Abortion,2024-10-09 00:00:00+00:00
70908.0,83245.0,58646.0,212799.0,-0.05797489649857377,Abortion,2024-10-10 00:00:00+00:00
66760.0,88347.0,80688.0,235795.0,-0.09154986322865201,Abortion,2024-10-11 00:00:00+00:00
60554.0,91016.0,68602.0,220172.0,-0.13835546754355685,Abortion,2024-10-12 00:00:00+00:00
65482.0,90724.0,81605.0,237811.0,-0.10614311364907426,Abortion,2024-10-13 00:00:00+00:00
69859.0,104697.0,79544.0,254100.0,-0.137103502558048,Abortion,2024-10-14 00:00:00+00:00
70748.0,115219.0,72510.0,258477.0,-0.17205012438244022,Abortion,2024-10-15 00:00:00+00:00
70704.0,105691.0,71855.0,248250.0,-0.14093454179254783,Abortion,2024-10-16 00:00:00+00:00
65408.0,80145.0,69861.0,215414.0,-0.06841245230115034,Abortion,2024-10-17 00:00:00+00:00
59988.0,89410.0,75015.0,224413.0,-0.1311064867008596,Abortion,2024-10-18 00:00:00+00:00
62798.0,81469.0,80520.0,224787.0,-0.08306085316321674,Abortion,2024-10-19 00:00:00+00:00
67133.0,86777.0,76361.0,230271.0,-0.08530818036140027,Abortion,2024-10-20 00:00:00+00:00
83969.0,80687.0,73596.0,238252.0,0.013775330322515655,Abortion,2024-10-21 00:00:00+00:00
101852.0,76011.0,82461.0,260324.0,0.09926476237304283,Abortion,2024-10-22 00:00:00+00:00
138429.0,75068.0,91489.0,304986.0,0.20775051969598604,Abortion,2024-10-23 00:00:00+00:00
149027.0,69454.0,91649.0,310130.0,0.2565794989198078,Abortion,2024-10-24 00:00:00+00:00
153216.0,52315.0,70252.0,275783.0,0.36587099277330365,Abortion,2024-10-25 00:00:00+00:00
159087.0,72634.0,61121.0,292842.0,0.2952206309204281,Abortion,2024-10-26 00:00:00+00:00
173187.0,69753.0,64253.0,307193.0,0.33670689110754476,Abortion,2024-10-27 00:00:00+00:00
172655.0,68382.0,64026.0,305063.0,0.3418080855429862,Abortion,2024-10-28 00:00:00+00:00
166414.0,59459.0,54429.0,280302.0,0.3815705917189317,Abortion,2024-10-29 00:00:00+00:00
120309.0,54231.0,42812.0,217352.0,0.30401376568883653,Abortion,2024-10-30 00:00:00+00:00
104499.0,50021.0,35012.0,189532.0,0.28743431188400903,Abortion,2024-10-31 00:00:00+00:00
91475.0,44647.0,27946.0,164068.0,0.28541824121705633,Abortion,2024-11-01 00:00:00+00:00
77652.0,19435.0,23994.0,121081.0,0.48081036661408477,Abortion,2024-11-02 00:00:00+00:00
47997.0,11569.0,10303.0,69869.0,0.5213757174140177,Abortion,2024-11-03 00:00:00+00:00
18896.0,3284.0,6134.0,28314.0,0.5513880059334605,Abortion,2024-11-04 00:00:00+00:00
2110.0,77.0,1030.0,3217.0,0.6319552377991918,Abortion,2024-11-05 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-06 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-07 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-08 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-09 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-10 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-11 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-12 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-13 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-14 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-15 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-16 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-17 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-18 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-19 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-20 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-21 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-22 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-23 00:00:00+00:00
0.0,0.0,0.0,0.0,,Abortion,2024-11-24 00:00:00+00:00
100682.0,184678.0,30211.0,315571.0,-0.2661714796353277,Democratic concerns,2024-08-01 00:00:00+00:00
132401.0,211663.0,33432.0,377496.0,-0.20996778773814823,Democratic concerns,2024-08-02 00:00:00+00:00
216654.0,298753.0,36836.0,552243.0,-0.14866462770917874,Democratic concerns,2024-08-03 00:00:00+00:00
237239.0,340806.0,43967.0,622012.0,-0.16650321858742276,Democratic concerns,2024-08-04 00:00:00+00:00
246001.0,395560.0,50037.0,691598.0,-0.21625134832662907,Democratic concerns,2024-08-05 00:00:00+00:00
261365.0,431917.0,60972.0,754254.0,-0.22612011338355514,Democratic concerns,2024-08-06 00:00:00+00:00
247868.0,422797.0,51662.0,722327.0,-0.24217425072024165,Democratic concerns,2024-08-07 00:00:00+00:00
243249.0,426630.0,43554.0,713433.0,-0.2570402546560083,Democratic concerns,2024-08-08 00:00:00+00:00
223529.0,477576.0,46188.0,747293.0,-0.3399563491160763,Democratic concerns,2024-08-09 00:00:00+00:00
180176.0,473252.0,46839.0,700267.0,-0.41852036437530254,Democratic concerns,2024-08-10 00:00:00+00:00
179364.0,468190.0,40776.0,688330.0,-0.4196039690264844,Democratic concerns,2024-08-11 00:00:00+00:00
