topic,likes_pro_sum,likes_anti_sum,likes_total_sum,stance_bias,window_start,window_end,window_title,year
Democratic concerns,3030491.0,5981906.0,9404158.0,-0.3138414943687675,2024-08-15,2024-08-25,a,2024
Wokeness,4854049.0,10565638.0,19393656.0,-0.29450811131227655,2024-08-15,2024-08-25,a,2024
Economy,1631356.0,4162452.0,6655602.0,-0.3802955765684306,2024-08-15,2024-08-25,a,2024
Immigration,316204.0,2115968.0,2750772.0,-0.6542759632568602,2024-08-15,2024-08-25,a,2024
Abortion,933109.0,1205456.0,3135662.0,-0.08685470564110545,2024-08-15,2024-08-25,a,2024
Democratic concerns,3898780.0,5416109.0,10270866.0,-0.1477313597509694,2024-09-06,2024-09-16,b,2024
Wokeness,2596688.0,7158138.0,11892301.0,-0.38356328182409777,2024-09-06,2024-09-16,b,2024
Economy,1616954.0,1554178.0,3728435.0,0.01683709116559629,2024-09-06,2024-09-16,b,2024
Immigration,850908.0,2610985.0,3690651.0,-0.4769015005753727,2024-09-06,2024-09-16,b,2024
Abortion,1072624.0,995902.0,3391648.0,0.022620861598845163,2024-09-06,2024-09-16,b,2024
Democratic concerns,2537246.0,3068234.0,6200199.0,-0.08564047702339876,2024-09-17,2024-09-27,c,2024
Wokeness,1229194.0,5750484.0,8596544.0,-0.5259427509473574,2024-09-17,2024-09-27,c,2024
Economy,1307160.0,2474343.0,4283026.0,-0.2725136387217822,2024-09-17,2024-09-27,c,2024
Immigration,615740.0,2035524.0,2845419.0,-0.49897185616599876,2024-09-17,2024-09-27,c,2024
Abortion,1553769.0,989368.0,3292049.0,0.17144368142758507,2024-09-17,2024-09-27,c,2024
Democratic concerns,5306069.0,4011512.0,10108898.0,0.12806113979980804,2024-10-09,2024-10-19,d,2024
Wokeness,1938714.0,6415032.0,11148803.0,-0.4015066012019407,2024-10-09,2024-10-19,d,2024
Economy,1236390.0,1881302.0,3635624.0,-0.17738688049149198,2024-10-09,2024-10-19,d,2024
Immigration,532433.0,3288638.0,4108419.0,-0.6708675527009295,2024-10-09,2024-10-19,d,2024
Abortion,736234.0,979509.0,2513988.0,-0.09676856055001058,2024-10-09,2024-10-19,d,2024
