topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,3.3143979902638855e-10,1.286505348348687e-06,4.1557699647793325e-10,1.6705572047383177e-06,2.607024623974726e-09,0.000570508060276278,0.13113191754930542,0.0712657371663089
Wokeness,1.125532494840617e-09,3.198685115158257e-10,3.596726122334489e-11,6.26116229237065e-07,3.1890482196260814e-11,1.730133842489457e-06,0.022578999449166203,0.31030211765420873
Democratic concerns,0.007268320691589058,1.4340426067367625e-06,1.281116386122681e-07,0.0016349676733335087,2.0132097620870842e-05,0.0001200232646719651,0.0024114514089688672,0.001642740067843326
Economy,1.4975386103952846e-28,2.6639791396178493e-18,2.7168493030087616e-28,8.518394478270507e-18,6.662738090087289e-23,3.876284566771803e-06,3.6301030617745374e-16,0.01157051726969717
Guns control,0.15978528024809507,0.24168990118224093,0.18597126942199135,0.004282442055279346,0.1608442351324672,0.2255538491982208,0.19211071156248202,0.10181241395677493
Abortion,0.016149418312490726,0.057112766716056855,0.3127555936463529,0.351788276987885,0.1357479486870617,0.6402840284413354,0.022111454140236603,0.0715327564544779
Immigration,8.214886088631903e-10,2.5431061554645134e-05,3.312129542636988e-07,1.9225456376257208e-10,1.6683583213663795e-07,0.13167757874798566,0.00216717825398431,3.595642749905428e-05
Healthcare,4.6052109448146565e-07,0.0001691561947303198,0.00021015302500272196,1.7872218479794157e-07,9.409434588371223e-08,4.999771004604175e-06,2.4872644874891843e-07,0.0002784833735680949
