topic,Immigration,Wokeness,Democratic concerns,Economy,Abortion,National security and foreign policy,Healthcare,Guns control
Immigration,0.009445436530323262,0.008473161110788177,4.505917976427845e-06,0.20908790179140263,0.01358100814570276,0.34983373266375445,0.015995428598784528,0.011972235186345203
Wokeness,1.4140744981727557e-06,0.16958848682143945,8.811986197349502e-05,0.016267879188883057,0.02208721478496744,0.1938652156011454,9.704596159267777e-07,1.1783435088072183e-10
Democratic concerns,0.008683987948708307,0.00016200251078244242,1.243768343647316e-16,0.2274698205686451,0.01390174380838942,0.517274511209811,0.00014488995428683647,0.0024245901414312945
Economy,0.3055176701569963,0.00038588411978381895,3.90930490685789e-06,0.07660435469232181,0.25225979724264314,5.886824293023618e-06,0.05220790419726812,5.049548276500102e-05
Abortion,0.5459686351908446,0.08631697894508808,2.6274735680922312e-05,0.0872090169896988,0.0012894274986326208,0.0035649735330536606,0.05637533237868763,1.356089214816252e-11
National security and foreign policy,0.2426370985007138,0.1628409487696218,1.577052493536586e-06,0.3178004348337728,0.4484618352488381,0.27008802475227234,0.0005719452197558326,0.022611648135152
Healthcare,0.0560074256721277,0.1922009854068688,1.379924814253637e-06,0.08322060936356933,0.06016243796936726,0.3656978542179681,0.004346622777408104,1.6103183884499677e-08
Guns control,0.22034327522769187,1.7114877287422505e-07,0.03143582393088981,0.001671794142915374,0.2925958844139427,0.0020660606737367055,0.26063715496344125,0.00340513620861039
