pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Immigration,Economy,Immigration,0.1407098749499925,0.3055176701569963,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Wokeness,Economy,Wokeness,-0.4618632930520657,0.00038588411978381895,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Democratic concerns,Economy,Democratic concerns,0.4902617055825563,3.90930490685789e-06,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Economy,Democratic concerns
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Economy,Economy,Economy,0.21304260758489543,0.07660435469232181,-14,70,fallback_all_lags,False,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Economy,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Abortion,Economy,Abortion,0.15702197125094058,0.25225979724264314,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Abortion,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,National security and foreign policy,Economy,National security and foreign policy,-0.5439109428319383,5.886824293023618e-06,11,61,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Healthcare,Economy,Healthcare,0.25402301727097154,0.05220790419726812,12,59,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Economy,Guns control,Economy,Guns control,-0.4370424687189931,5.049548276500102e-05,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Economy,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Immigration,Abortion,Immigration,0.07285718158676542,0.5459686351908446,6,71,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Wokeness,Abortion,Wokeness,-0.23342598107704124,0.08631697894508808,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Abortion
