left_layer,right_layer,left_topic,right_topic,rho,p,lag,n,selected_from,from_layer,to_layer,from_topic,to_topic
Public Reaction,Donald Trump,Abortion,Abortion,0.501172019782478,3.5913155047145735e-11,-4,154,significant,Public Reaction,Donald Trump,Abortion,Abortion
Public Reaction,Donald Trump,Abortion,Democratic concerns,0.6044463208912333,1.0429315537036835e-15,-14,144,significant,Public Reaction,Donald Trump,Abortion,Democratic concerns
Public Reaction,Donald Trump,Abortion,Economy,0.48574488845092606,5.143834361496683e-10,-12,146,significant,Public Reaction,Donald Trump,Abortion,Economy
Public Reaction,Donald Trump,Abortion,Guns control,0.572998584604298,6.6486668684325884e-15,-3,155,significant,Public Reaction,Donald Trump,Abortion,Guns control
Public Reaction,Donald Trump,Abortion,Immigration,0.4652356900608555,1.5521846608699068e-09,-6,152,significant,Public Reaction,Donald Trump,Abortion,Immigration
Public Reaction,Donald Trump,Abortion,National security and foreign policy,0.48211822309700525,9.451121578382604e-10,-14,144,significant,Public Reaction,Donald Trump,Abortion,National security and foreign policy
Public Reaction,Donald Trump,Abortion,Voter trust,0.608112458665426,6.294750052861434e-16,-14,144,significant,Public Reaction,Donald Trump,Abortion,Voter trust
Public Reaction,Donald Trump,Abortion,Wokeness,0.5438727229383734,6.361419651734523e-13,-8,150,significant,Public Reaction,Donald Trump,Abortion,Wokeness
Public Reaction,Donald Trump,Courts,Abortion,-0.5555374230774451,1.930309208725209e-13,-9,149,significant,Public Reaction,Donald Trump,Courts,Abortion
Public Reaction,Donald Trump,Courts,Democratic concerns,-0.635883043166655,1.3494817363138319e-18,-6,152,significant,Public Reaction,Donald Trump,Courts,Democratic concerns
Public Reaction,Donald Trump,Courts,Economy,-0.6480216120037718,1.813996983356759e-19,-6,152,significant,Public Reaction,Donald Trump,Courts,Economy
Public Reaction,Donald Trump,Courts,Guns control,-0.553556143392337,6.207963527473894e-13,-14,144,significant,Public Reaction,Donald Trump,Courts,Guns control
Public Reaction,Donald Trump,Courts,Immigration,-0.6059230310831696,1.3301240587379145e-16,-6,152,significant,Public Reaction,Donald Trump,Courts,Immigration
Public Reaction,Donald Trump,Courts,National security and foreign policy,-0.6639023615866204,3.694698019923839e-20,-10,148,significant,Public Reaction,Donald Trump,Courts,National security and foreign policy
Public Reaction,Donald Trump,Courts,Voter trust,-0.6479736113900729,1.3883857258870414e-19,-5,153,significant,Public Reaction,Donald Trump,Courts,Voter trust
Public Reaction,Donald Trump,Courts,Wokeness,-0.5324642818636177,8.417959160968521e-13,2,156,significant,Donald Trump,Public Reaction,Wokeness,Courts
Public Reaction,Donald Trump,Democratic concerns,Abortion,0.5253076583960662,5.144266288979257e-12,-8,150,significant,Public Reaction,Donald Trump,Democratic concerns,Abortion
Public Reaction,Donald Trump,Democratic concerns,Democratic concerns,0.4677202577092319,1.0896048136655923e-09,5,153,significant,Donald Trump,Public Reaction,Democratic concerns,Democratic concerns
Public Reaction,Donald Trump,Democratic concerns,Economy,0.498847499629539,6.116677653844938e-11,-6,152,significant,Public Reaction,Donald Trump,Democratic concerns,Economy
Public Reaction,Donald Trump,Democratic concerns,Guns control,0.6176137174899675,1.444735859994385e-17,-4,154,significant,Public Reaction,Donald Trump,Democratic concerns,Guns control
Public Reaction,Donald Trump,Democratic concerns,Immigration,0.5109393858991501,2.7803073495542415e-11,-9,149,significant,Public Reaction,Donald Trump,Democratic concerns,Immigration
Public Reaction,Donald Trump,Democratic concerns,National security and foreign policy,0.47826237230899243,3.5405772692680305e-10,-4,154,significant,Public Reaction,Donald Trump,Democratic concerns,National security and foreign policy
Public Reaction,Donald Trump,Democratic concerns,Voter trust,0.4596323419491688,6.827051822764373e-09,-14,144,significant,Public Reaction,Donald Trump,Democratic concerns,Voter trust
Public Reaction,Donald Trump,Democratic concerns,Wokeness,0.597799861028945,5.325940784955439e-16,-7,151,significant,Public Reaction,Donald Trump,Democratic concerns,Wokeness
Public Reaction,Donald Trump,Economy,Abortion,0.7622877588758751,6.0119215090851046e-30,-7,151,significant,Public Reaction,Donald Trump,Economy,Abortion
Public Reaction,Donald Trump,Economy,Democratic concerns,0.8203962150983652,1.7365487732729716e-38,-5,153,significant,Public Reaction,Donald Trump,Economy,Democratic concerns
Public Reaction,Donald Trump,Economy,Economy,0.726743305290787,2.0875879332483622e-26,-5,153,significant,Public Reaction,Donald Trump,Economy,Economy
