topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,1.0,1.0,3.0,5.0,1.0,-6.0,1.0,-1.0
Wokeness,12.0,13.0,13.0,12.0,13.0,-3.0,-1.0,1.0
Democratic concerns,-1.0,-4.0,-4.0,-4.0,-4.0,-6.0,-2.0,-1.0
Economy,1.0,1.0,5.0,5.0,1.0,-6.0,1.0,-1.0
Guns control,-11.0,5.0,5.0,-12.0,5.0,-6.0,5.0,-12.0
Abortion,14.0,-11.0,1.0,3.0,1.0,-12.0,12.0,-1.0
Immigration,5.0,5.0,5.0,-1.0,5.0,5.0,5.0,8.0
Healthcare,-1.0,-1.0,-2.0,7.0,-1.0,-14.0,-1.0,1.0
