pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Immigration,Immigration,Immigration,0.2978688254864488,0.009445436530323262,-9,75,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Immigration,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Wokeness,Immigration,Wokeness,-0.35164221027124604,0.008473161110788177,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Democratic concerns,Immigration,Democratic concerns,0.4875290459316798,4.505917976427845e-06,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Immigration,Democratic concerns
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Economy,Immigration,Economy,-0.15544484335868758,0.20908790179140263,8,67,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Economy,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Abortion,Immigration,Abortion,0.33097015199214774,0.01358100814570276,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Abortion,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,National security and foreign policy,Immigration,National security and foreign policy,-0.12177618501976917,0.34983373266375445,11,61,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Healthcare,Immigration,Healthcare,0.32347607832529435,0.015995428598784528,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Immigration,Guns control,Immigration,Guns control,-0.30097338067523827,0.011972235186345203,7,69,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Guns control,Immigration
left_mid,Left–Mid,Kamala Harris,Public Reaction,Wokeness,Immigration,Wokeness,Immigration,0.5365412050577407,1.4140744981727557e-06,6,71,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,Wokeness
left_mid,Left–Mid,Kamala Harris,Public Reaction,Wokeness,Wokeness,Wokeness,Wokeness,0.16977705796747186,0.16958848682143945,8,67,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Wokeness
