topic,Immigration,Wokeness,Democratic concerns,Economy,Abortion,National security and foreign policy,Healthcare,Guns control
Immigration,-5.0,-5.0,-5.0,-5.0,-5.0,-3.0,-14.0,-5.0
Wokeness,12.0,-7.0,12.0,12.0,-6.0,12.0,-5.0,-6.0
Democratic concerns,4.0,4.0,5.0,2.0,6.0,1.0,2.0,2.0
Economy,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
Abortion,14.0,13.0,-4.0,12.0,-4.0,-3.0,-14.0,-3.0
National security and foreign policy,-14.0,-14.0,-14.0,1.0,-14.0,-14.0,14.0,-14.0
Healthcare,14.0,-13.0,14.0,12.0,14.0,-12.0,1.0,14.0
Guns control,1.0,6.0,-14.0,6.0,1.0,-7.0,-12.0,-7.0
