topic,Immigration,Wokeness,Democratic concerns,Economy,Abortion,National security and foreign policy,Healthcare,Guns control
Immigration,103.0,103.0,103.0,103.0,103.0,107.0,85.0,103.0
Wokeness,98.0,99.0,98.0,98.0,101.0,98.0,103.0,101.0
Democratic concerns,111.0,111.0,109.0,112.0,107.0,113.0,112.0,112.0
Economy,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Abortion,94.0,96.0,105.0,98.0,105.0,107.0,85.0,107.0
National security and foreign policy,85.0,85.0,85.0,113.0,85.0,85.0,94.0,85.0
Healthcare,94.0,87.0,94.0,98.0,94.0,89.0,113.0,94.0
Guns control,113.0,107.0,85.0,107.0,113.0,99.0,89.0,99.0
