topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,significant,significant,significant,significant,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags
Wokeness,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags,fallback_all_lags
Democratic concerns,significant,fallback_all_lags,significant,significant,fallback_all_lags,significant,significant,significant
Economy,significant,fallback_all_lags,significant,significant,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags
Guns control,significant,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags
Abortion,fallback_all_lags,significant,fallback_all_lags,significant,fallback_all_lags,fallback_all_lags,significant,significant
Immigration,significant,fallback_all_lags,significant,significant,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags
Healthcare,fallback_all_lags,fallback_all_lags,significant,significant,significant,significant,fallback_all_lags,significant
