left_layer,right_layer,left_topic,right_topic,rho,p,lag,n,selected_from,from_layer,to_layer,from_topic,to_topic
Joe Biden,Public Reaction,Abortion,Abortion,0.596792507389205,1.8746005759936536e-15,10,146,significant,Public Reaction,Joe Biden,Abortion,Abortion
Joe Biden,Public Reaction,Abortion,Courts,0.4285113455698412,1.0371666272599712e-07,-14,142,significant,Joe Biden,Public Reaction,Abortion,Courts
Joe Biden,Public Reaction,Abortion,Democratic concerns,0.6091963844092708,1.0432847261456193e-16,5,151,significant,Public Reaction,Joe Biden,Democratic concerns,Abortion
Joe Biden,Public Reaction,Abortion,Economy,0.5697873880800659,1.3580579613355017e-13,14,142,significant,Public Reaction,Joe Biden,Economy,Abortion
Joe Biden,Public Reaction,Abortion,Guns control,0.5550156867482707,7.633739291861961e-13,14,142,significant,Public Reaction,Joe Biden,Guns control,Abortion
Joe Biden,Public Reaction,Abortion,Healthcare,0.34720222347733765,2.0123293789854976e-05,12,144,significant,Public Reaction,Joe Biden,Healthcare,Abortion
Joe Biden,Public Reaction,Abortion,Immigration,0.45525877685623073,1.1118976446127736e-08,-13,143,significant,Joe Biden,Public Reaction,Abortion,Immigration
Joe Biden,Public Reaction,Abortion,National security and foreign policy,0.5134401088202429,4.684847801317326e-11,12,144,significant,Public Reaction,Joe Biden,National security and foreign policy,Abortion
Joe Biden,Public Reaction,Abortion,Voter trust,0.5551961549782998,5.137732792648559e-13,12,144,significant,Public Reaction,Joe Biden,Voter trust,Abortion
Joe Biden,Public Reaction,Abortion,Wokeness,0.5512160742632843,9.76250649831767e-13,13,143,significant,Public Reaction,Joe Biden,Wokeness,Abortion
Joe Biden,Public Reaction,Climate change,Abortion,0.37111402418443573,5.449583773197941e-06,14,142,significant,Public Reaction,Joe Biden,Abortion,Climate change
Joe Biden,Public Reaction,Climate change,Courts,0.4134014507649771,1.6054489287712286e-07,-7,149,significant,Joe Biden,Public Reaction,Climate change,Courts
Joe Biden,Public Reaction,Climate change,Democratic concerns,0.4486421548451334,2.1499630580282246e-08,14,142,significant,Public Reaction,Joe Biden,Democratic concerns,Climate change
Joe Biden,Public Reaction,Climate change,Economy,0.5420056774282396,4.640650132422845e-13,3,153,significant,Public Reaction,Joe Biden,Economy,Climate change
Joe Biden,Public Reaction,Climate change,Guns control,0.41362662234026837,3.1144272302075354e-07,-14,142,significant,Joe Biden,Public Reaction,Climate change,Guns control
Joe Biden,Public Reaction,Climate change,Healthcare,0.47921535616474775,1.6073788888262515e-09,-14,142,significant,Joe Biden,Public Reaction,Climate change,Healthcare
Joe Biden,Public Reaction,Climate change,Immigration,0.19131576466330563,0.017095283537551315,1,155,fallback_all_lags,Public Reaction,Joe Biden,Immigration,Climate change
Joe Biden,Public Reaction,Climate change,National security and foreign policy,0.5116791354096704,2.205284159479338e-11,6,150,significant,Public Reaction,Joe Biden,National security and foreign policy,Climate change
Joe Biden,Public Reaction,Climate change,Voter trust,0.4009396172545464,5.809307503413782e-07,11,145,significant,Public Reaction,Joe Biden,Voter trust,Climate change
Joe Biden,Public Reaction,Climate change,Wokeness,0.2804685034818193,0.0007228941540892226,14,142,significant,Public Reaction,Joe Biden,Wokeness,Climate change
Joe Biden,Public Reaction,Democratic concerns,Abortion,0.5916716696961759,8.931484763160868e-15,14,142,significant,Public Reaction,Joe Biden,Abortion,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Courts,0.4281711340431678,1.0641961210857458e-07,-14,142,significant,Joe Biden,Public Reaction,Democratic concerns,Courts
Joe Biden,Public Reaction,Democratic concerns,Democratic concerns,0.7649301712000842,1.0103745985834505e-28,13,143,significant,Public Reaction,Joe Biden,Democratic concerns,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Economy,0.48766123614167545,7.498274285861437e-10,14,142,significant,Public Reaction,Joe Biden,Economy,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Guns control,0.5333464002175445,8.282288871976482e-12,14,142,significant,Public Reaction,Joe Biden,Guns control,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Healthcare,0.4186066925210584,1.7766342484332948e-07,-12,144,significant,Joe Biden,Public Reaction,Democratic concerns,Healthcare
Joe Biden,Public Reaction,Democratic concerns,Immigration,0.17406736100282472,0.03626710464467324,-11,145,fallback_all_lags,Joe Biden,Public Reaction,Democratic concerns,Immigration
Joe Biden,Public Reaction,Democratic concerns,National security and foreign policy,0.5280724726269135,7.401427093609771e-12,10,146,significant,Public Reaction,Joe Biden,National security and foreign policy,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Voter trust,0.612553305391501,2.666411900724415e-16,11,145,significant,Public Reaction,Joe Biden,Voter trust,Democratic concerns
Joe Biden,Public Reaction,Democratic concerns,Wokeness,0.5957319145734993,5.268810760969257e-15,14,142,significant,Public Reaction,Joe Biden,Wokeness,Democratic concerns
Joe Biden,Public Reaction,Economy,Abortion,0.4840856039415461,1.038146591723003e-09,14,142,significant,Public Reaction,Joe Biden,Abortion,Economy
Joe Biden,Public Reaction,Economy,Courts,0.5311103615457972,7.480924689389743e-12,-12,144,significant,Joe Biden,Public Reaction,Economy,Courts
Joe Biden,Public Reaction,Economy,Democratic concerns,0.6326359369690107,2.338738714448316e-17,13,143,significant,Public Reaction,Joe Biden,Democratic concerns,Economy
Joe Biden,Public Reaction,Economy,Economy,0.5107376356171575,1.3121813562243747e-11,2,154,significant,Public Reaction,Joe Biden,Economy,Economy
Joe Biden,Public Reaction,Economy,Guns control,0.4170157728637801,1.6404936597327309e-07,10,146,significant,Public Reaction,Joe Biden,Guns control,Economy
Joe Biden,Public Reaction,Economy,Healthcare,0.45739877011021046,8.24507967305317e-09,-12,144,significant,Joe Biden,Public Reaction,Economy,Healthcare
Joe Biden,Public Reaction,Economy,Immigration,-0.23880191590997207,0.0034675641041010223,8,148,significant,Public Reaction,Joe Biden,Immigration,Economy
Joe Biden,Public Reaction,Economy,National security and foreign policy,0.5089618164585467,6.29328788280586e-11,11,145,significant,Public Reaction,Joe Biden,National security and foreign policy,Economy
Joe Biden,Public Reaction,Economy,Voter trust,0.47932878690069586,1.0648196447982505e-09,11,145,significant,Public Reaction,Joe Biden,Voter trust,Economy
Joe Biden,Public Reaction,Economy,Wokeness,0.4847865542545681,9.742881423509655e-10,14,142,significant,Public Reaction,Joe Biden,Wokeness,Economy
Joe Biden,Public Reaction,Education,Abortion,0.3840365581563786,2.3807864971521616e-06,14,142,significant,Public Reaction,Joe Biden,Abortion,Education
Joe Biden,Public Reaction,Education,Courts,0.3730280516284743,4.1318011712042435e-06,12,144,significant,Public Reaction,Joe Biden,Courts,Education
Joe Biden,Public Reaction,Education,Democratic concerns,0.5244308362977014,2.104689323051974e-11,14,142,significant,Public Reaction,Joe Biden,Democratic concerns,Education
Joe Biden,Public Reaction,Education,Economy,0.45038989446357786,1.8663042044448272e-08,14,142,significant,Public Reaction,Joe Biden,Economy,Education
Joe Biden,Public Reaction,Education,Guns control,0.3033835848331757,0.00016069260666847822,6,150,significant,Public Reaction,Joe Biden,Guns control,Education
Joe Biden,Public Reaction,Education,Healthcare,0.2901529479069932,0.00038153867087731394,10,146,significant,Public Reaction,Joe Biden,Healthcare,Education
Joe Biden,Public Reaction,Education,Immigration,0.21642352803701018,0.009426678572038907,-13,143,significant,Joe Biden,Public Reaction,Education,Immigration
Joe Biden,Public Reaction,Education,National security and foreign policy,0.48891010946107116,5.054106195407855e-10,12,144,significant,Public Reaction,Joe Biden,National security and foreign policy,Education
Joe Biden,Public Reaction,Education,Voter trust,0.42910382861752805,7.235193825473679e-08,11,145,significant,Public Reaction,Joe Biden,Voter trust,Education
Joe Biden,Public Reaction,Education,Wokeness,0.4592277203381892,9.013938508017048e-09,14,142,significant,Public Reaction,Joe Biden,Wokeness,Education
Joe Biden,Public Reaction,Guns control,Abortion,0.6921244136471311,1.449368221742274e-21,14,142,significant,Public Reaction,Joe Biden,Abortion,Guns control
Joe Biden,Public Reaction,Guns control,Courts,0.3217877712881564,9.42108470272833e-05,-14,142,significant,Joe Biden,Public Reaction,Guns control,Courts
Joe Biden,Public Reaction,Guns control,Democratic concerns,0.7816237701819505,6.63208458313753e-31,12,144,significant,Public Reaction,Joe Biden,Democratic concerns,Guns control
Joe Biden,Public Reaction,Guns control,Economy,0.5590618228610844,4.797615644992012e-13,14,142,significant,Public Reaction,Joe Biden,Economy,Guns control
Joe Biden,Public Reaction,Guns control,Guns control,0.5645231050491396,2.5374842983124783e-13,14,142,significant,Public Reaction,Joe Biden,Guns control,Guns control
Joe Biden,Public Reaction,Guns control,Healthcare,0.25898923432241294,0.0018568978145667029,14,142,significant,Public Reaction,Joe Biden,Healthcare,Guns control
Joe Biden,Public Reaction,Guns control,Immigration,0.30586327126042706,0.00019291131262141794,-12,144,significant,Joe Biden,Public Reaction,Guns control,Immigration
Joe Biden,Public Reaction,Guns control,National security and foreign policy,0.3589025522732401,8.647698985088318e-06,10,146,significant,Public Reaction,Joe Biden,National security and foreign policy,Guns control
Joe Biden,Public Reaction,Guns control,Voter trust,0.7297487089803126,4.766407464110145e-25,13,143,significant,Public Reaction,Joe Biden,Voter trust,Guns control
Joe Biden,Public Reaction,Guns control,Wokeness,0.6324683751749701,3.1070789421774717e-17,14,142,significant,Public Reaction,Joe Biden,Wokeness,Guns control
Joe Biden,Public Reaction,Healthcare,Abortion,0.46031330695499734,8.231295890948195e-09,14,142,significant,Public Reaction,Joe Biden,Abortion,Healthcare
Joe Biden,Public Reaction,Healthcare,Courts,0.5272843796804522,1.1230150082024993e-11,-12,144,significant,Joe Biden,Public Reaction,Healthcare,Courts
Joe Biden,Public Reaction,Healthcare,Democratic concerns,0.5398517005378082,4.12145499114001e-12,14,142,significant,Public Reaction,Joe Biden,Democratic concerns,Healthcare
Joe Biden,Public Reaction,Healthcare,Economy,0.4590438949207606,6.3540379294748505e-09,-11,145,significant,Joe Biden,Public Reaction,Healthcare,Economy
Joe Biden,Public Reaction,Healthcare,Guns control,0.42351928317466275,7.380854814509468e-08,7,149,significant,Public Reaction,Joe Biden,Guns control,Healthcare
Joe Biden,Public Reaction,Healthcare,Healthcare,0.5094320844463973,8.162903413823301e-11,-13,143,significant,Joe Biden,Public Reaction,Healthcare,Healthcare
Joe Biden,Public Reaction,Healthcare,Immigration,0.14777999251518387,0.06649945091553493,1,155,fallback_all_lags,Public Reaction,Joe Biden,Immigration,Healthcare
Joe Biden,Public Reaction,Healthcare,National security and foreign policy,0.36723372162278656,5.127460858524867e-06,10,146,significant,Public Reaction,Joe Biden,National security and foreign policy,Healthcare
Joe Biden,Public Reaction,Healthcare,Voter trust,0.42015949961619914,1.43138816300312e-07,11,145,significant,Public Reaction,Joe Biden,Voter trust,Healthcare
Joe Biden,Public Reaction,Healthcare,Wokeness,0.48195904490393443,1.257550654209574e-09,14,142,significant,Public Reaction,Joe Biden,Wokeness,Healthcare
Joe Biden,Public Reaction,National security and foreign policy,Abortion,0.5890995696581198,1.2430062031938738e-14,14,142,significant,Public Reaction,Joe Biden,Abortion,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Courts,0.6122321472715697,5.703998545725011e-16,-14,142,significant,Joe Biden,Public Reaction,National security and foreign policy,Courts
Joe Biden,Public Reaction,National security and foreign policy,Democratic concerns,0.6801210580307232,9.517272208138075e-21,13,143,significant,Public Reaction,Joe Biden,Democratic concerns,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Economy,0.34166311079292333,1.5442646238795006e-05,3,153,significant,Public Reaction,Joe Biden,Economy,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Guns control,0.6264746982170885,5.842141725859511e-17,13,143,significant,Public Reaction,Joe Biden,Guns control,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Healthcare,0.44544557170159205,2.779265387877473e-08,-14,142,significant,Joe Biden,Public Reaction,National security and foreign policy,Healthcare
Joe Biden,Public Reaction,National security and foreign policy,Immigration,0.15808747890629146,0.060242747955642266,-14,142,fallback_all_lags,Joe Biden,Public Reaction,National security and foreign policy,Immigration
Joe Biden,Public Reaction,National security and foreign policy,National security and foreign policy,0.36883247701216,3.6830811852002045e-06,7,149,significant,Public Reaction,Joe Biden,National security and foreign policy,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Voter trust,0.5332738972072908,5.0012001472000544e-12,11,145,significant,Public Reaction,Joe Biden,Voter trust,National security and foreign policy
Joe Biden,Public Reaction,National security and foreign policy,Wokeness,0.6446542036154809,4.845933996943914e-18,14,142,significant,Public Reaction,Joe Biden,Wokeness,National security and foreign policy
Joe Biden,Public Reaction,Wokeness,Abortion,0.4900519637611659,6.01971457235808e-10,14,142,significant,Public Reaction,Joe Biden,Abortion,Wokeness
Joe Biden,Public Reaction,Wokeness,Courts,0.35256241785162706,1.6839842732331712e-05,14,142,significant,Public Reaction,Joe Biden,Courts,Wokeness
Joe Biden,Public Reaction,Wokeness,Democratic concerns,0.6797415630686503,1.3940499619201117e-20,14,142,significant,Public Reaction,Joe Biden,Democratic concerns,Wokeness
Joe Biden,Public Reaction,Wokeness,Economy,0.46137952387638914,5.8844846328118285e-09,12,144,significant,Public Reaction,Joe Biden,Economy,Wokeness
Joe Biden,Public Reaction,Wokeness,Guns control,0.39132596390930147,1.235741432382788e-06,12,144,significant,Public Reaction,Joe Biden,Guns control,Wokeness
Joe Biden,Public Reaction,Wokeness,Healthcare,0.43115937833023693,8.481292200231178e-08,14,142,significant,Public Reaction,Joe Biden,Healthcare,Wokeness
Joe Biden,Public Reaction,Wokeness,Immigration,-0.2823076716789731,0.000508408565432621,8,148,significant,Public Reaction,Joe Biden,Immigration,Wokeness
Joe Biden,Public Reaction,Wokeness,National security and foreign policy,0.5498247262919372,7.918080842578032e-13,11,145,significant,Public Reaction,Joe Biden,National security and foreign policy,Wokeness
Joe Biden,Public Reaction,Wokeness,Voter trust,0.5647798727972205,1.369476263427736e-13,11,145,significant,Public Reaction,Joe Biden,Voter trust,Wokeness
Joe Biden,Public Reaction,Wokeness,Wokeness,0.4727183906187054,2.8497601632131134e-09,14,142,significant,Public Reaction,Joe Biden,Wokeness,Wokeness
