topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,126.0,126.0,125.0,124.0,126.0,115.0,126.0,125.0
Wokeness,114.0,112.0,112.0,114.0,112.0,121.0,125.0,126.0
Democratic concerns,125.0,119.0,119.0,119.0,119.0,115.0,123.0,125.0
Economy,126.0,126.0,124.0,124.0,126.0,115.0,126.0,125.0
Guns control,105.0,124.0,124.0,103.0,124.0,115.0,124.0,103.0
Abortion,111.0,105.0,126.0,125.0,126.0,103.0,114.0,125.0
Immigration,124.0,124.0,124.0,125.0,124.0,124.0,124.0,120.0
Healthcare,125.0,125.0,123.0,122.0,125.0,99.0,125.0,126.0
