topic,Immigration,Wokeness,Democratic concerns,Economy,Abortion,National security and foreign policy,Healthcare,Guns control
Immigration,75.0,55.0,80.0,67.0,55.0,61.0,55.0,69.0
Wokeness,71.0,67.0,78.0,80.0,80.0,61.0,55.0,80.0
Democratic concerns,61.0,72.0,80.0,65.0,78.0,76.0,55.0,67.0
Economy,55.0,55.0,80.0,70.0,55.0,61.0,59.0,80.0
Abortion,71.0,55.0,80.0,80.0,80.0,61.0,55.0,65.0
National security and foreign policy,55.0,55.0,72.0,80.0,59.0,55.0,59.0,65.0
Healthcare,71.0,67.0,80.0,78.0,78.0,61.0,55.0,79.0
Guns control,55.0,55.0,75.0,78.0,74.0,55.0,63.0,80.0
