topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,significant,significant,significant,significant,significant,significant,fallback_all_lags,fallback_all_lags
Wokeness,significant,significant,significant,significant,significant,significant,significant,fallback_all_lags
Democratic concerns,significant,significant,significant,significant,significant,significant,significant,significant
Economy,significant,significant,significant,significant,significant,significant,significant,significant
Guns control,fallback_all_lags,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags
Abortion,significant,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags,fallback_all_lags,significant,fallback_all_lags
Immigration,significant,significant,significant,significant,significant,fallback_all_lags,significant,significant
Healthcare,significant,significant,significant,significant,significant,significant,significant,significant
