topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,2.2085814683445686e-08,0.02802345952863564,0.021678074250238988,0.0009920582010663544,0.08952547718661905,0.11211342282282209,0.0020026760348457115,0.10502899677525428
Wokeness,0.0796943223634217,0.12054003260289889,0.008998643586829532,0.08357780155337967,0.4455859928263496,0.0463323006636859,0.21937057506840937,0.11969901986658352
Democratic concerns,0.008176275874842619,0.2155219832434147,7.76360560989682e-07,7.155327023690731e-07,0.1669895023767461,0.04814140818282194,0.003663048369768552,0.02308900092334792
Economy,0.0024924807629128584,0.07965931034266205,9.916712283047832e-06,0.0036167440651551424,0.3766206892050913,0.14341084587787303,0.027027938687695752,0.06448060245948957
Guns control,0.0031148642985943174,0.1663992134530399,0.07093228376134858,0.08208380235290547,0.6035550099237159,0.09768012195901635,0.010471568391695244,0.39849981094744
Abortion,0.10355064482552753,0.04462450512375636,0.078524349419538,0.0024508903548295952,0.11739995603532669,0.3468435494809338,0.0025140686427803788,0.04001394113729647
Immigration,0.0006073677125436127,0.05156982622075158,0.005605004808985725,0.028061149696424377,0.12063587798276267,0.2299912641948774,0.09327619970469891,0.18948118362134878
Healthcare,0.12344101308215207,0.24157575072697257,0.012798784647140687,2.7465536971753733e-05,0.0059324373230873,0.0031690115335010456,0.15242989215413402,0.0021211192581910517
