topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,29.0,28.0,21.0,39.0,22.0,17.0,36.0,39.0
Wokeness,17.0,17.0,19.0,29.0,25.0,27.0,21.0,28.0
Democratic concerns,39.0,17.0,31.0,39.0,37.0,39.0,36.0,39.0
Economy,21.0,39.0,27.0,39.0,25.0,17.0,17.0,39.0
Guns control,21.0,17.0,23.0,17.0,25.0,17.0,17.0,21.0
Abortion,31.0,28.0,27.0,17.0,19.0,29.0,17.0,23.0
Immigration,17.0,28.0,17.0,27.0,22.0,20.0,27.0,23.0
Healthcare,21.0,25.0,27.0,39.0,17.0,22.0,17.0,17.0
