topic,Immigration,Wokeness,Democratic concerns,Economy,Abortion,National security and foreign policy,Healthcare,Guns control
Immigration,0.4643341597660207,0.5214022131143051,0.38806796628990586,0.4170639026695789,0.5600637150666481,0.3488211475852894,-0.3363260730181329,0.57126382009598
Wokeness,0.6558467238546033,0.5946932257276242,0.81012311340004,0.6650067763154642,0.6784797967519707,0.770791958289397,0.48780095758599423,0.6088288589098194
Democratic concerns,0.6627176628281851,0.7623859724598802,0.9048565830003972,0.7024924889403059,0.8484927259621889,0.7928666065213095,0.4672761346475141,0.7520763715265412
Economy,0.5125476721228951,0.3303167840626182,0.46053068587947465,0.7337896183141855,0.27782319065196737,0.5336029144647442,0.1363394442447276,0.25411175942174424
Abortion,0.4086224281854763,0.35913716244220534,0.34830505195384837,0.4133258957472816,0.37625297533683416,0.33810296043052296,-0.15237610192020948,0.3862840916145792
National security and foreign policy,0.1502455235755345,0.38404292667788775,0.4413768980022547,0.13425160601460018,0.47186916356061137,0.2710317383589681,-0.11092262722843324,0.3857967257343073
Healthcare,0.35753378702097555,0.46533417742456124,0.3945307855698353,0.4023336266494287,0.585078411165345,0.46463915814179313,0.1226147784136858,0.4514024383722734
Guns control,-0.2381539579168241,-0.22813278550191607,0.37333472490979835,-0.2436227462213275,-0.14743584558682207,-0.11422280553688989,0.240625206903756,-0.28926877331619805
