topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,0.8320849285569818,0.41517021349523425,-0.4977225124206006,0.506850945932412,0.37060642368595575,-0.39951437460129485,0.49787218702440683,0.2635219032205153
Wokeness,-0.4366573393982414,-0.3911465744468754,0.5816129648263707,0.3267932651707376,-0.15975389810684543,0.38666347442932003,-0.279754713940505,0.3009197591445938
Democratic concerns,0.4175372287458529,-0.3167023431819415,0.75823993360897,0.699747387723385,0.23203931836148936,0.3185001147655911,0.47192397613129455,0.3631022950637643
Economy,-0.6241877839323592,0.28407945289327546,0.7407975277812364,0.45493222901839336,-0.18475756051987283,0.3703250236217016,-0.5346414248313307,0.2989670391946343
Guns control,0.6132388066197537,-0.351585620806427,-0.38339935862064295,0.4335808539273605,-0.10913521909086024,-0.41494557367260293,0.6025407282371629,-0.1943777220555676
Abortion,0.2979355940397626,0.38238180661523136,0.3444307088989586,-0.684208969950337,0.3714399493658962,0.1812077881593064,-0.6829626876735604,0.4310694101208444
Immigration,0.7445503365252814,0.37154144843744347,-0.6405138416909406,0.42266795391218503,0.34080766778158755,-0.2810581809900354,0.3295008810439591,0.2837548791505134
Healthcare,-0.3468658838349095,0.24312368212767335,0.47259960862017997,0.6181726343279921,0.6372549019607844,-0.5998305802592232,-0.36274509803921573,0.6911764705882353
