topic,National security and foreign policy,Wokeness,Democratic concerns,Economy,Guns control,Abortion,Immigration,Healthcare
National security and foreign policy,0.5230570790825524,0.4157934092735569,0.5223644936299631,0.414787095970902,0.49954327739950616,0.3164324106116577,0.1352197448600161,0.16189541477352923
Wokeness,0.5319505295236229,0.5505545813134837,0.5742560010257909,0.4467905001090203,0.5755077655939987,0.4189597447674713,0.20387363777547857,0.09110655907616105
Democratic concerns,0.23900173006303296,0.4252004166708899,0.46142395671997927,0.28569597275437,0.3800689071820269,0.3510026139761837,0.27121022066051587,0.27878078844388965
Economy,0.7937754523735454,0.6782608238491936,0.795315702144554,0.6747572286895476,0.7377445813671493,0.4155252403722645,0.6449435526813451,0.2251946260464182
Guns control,-0.13818647460525546,0.10591519956502093,0.11955656293977779,-0.27925214290755984,0.12669976662686835,0.11388551410930454,0.11792015697243961,-0.1621228273267807
Abortion,-0.2278888138149317,-0.18626124681269404,0.09064767518834133,0.0839789054953468,0.1336363162162403,0.046588163928096366,-0.2141993480088544,0.16174484868846267
Immigration,0.5165162526619875,0.36849046785961753,0.4393403875946688,0.5307962085942263,0.4491899516342074,0.13612688272632933,0.27288079032891904,0.3677454385157
Healthcare,0.4328951133920549,0.3302340763165894,0.3282452886149963,0.4515420144443679,0.4555245765199225,0.44067088955545924,0.4418685793171841,0.3184904334260226
