state,state_abbr,democrat_pct,republican_pct,dem_minus_rep
Alaska,AK,41.41,54.54,-13.130000000000003
Alabama,AL,34.1,64.57,-30.46999999999999
Arkansas,AR,33.56,64.2,-30.64
Arizona,AZ,46.69,52.22,-5.530000000000001
California,CA,58.47,38.33,20.14
Colorado,CO,54.13,43.14,10.990000000000002
Connecticut,CT,56.4,41.89,14.509999999999998
District of Columbia,DC,90.28,6.47,83.81
Delaware,DE,56.49,41.79,14.700000000000003
Florida,FL,42.99,56.09,-13.100000000000001
Georgia,GA,48.53,50.72,-2.1899999999999977
Hawaii,HI,60.59,37.48,23.110000000000007
Iowa,IA,42.52,55.73,-13.209999999999994
Idaho,ID,30.38,66.87,-36.49000000000001
Illinois,IL,54.37,43.47,10.899999999999999
Indiana,IN,39.62,58.58,-18.96
Kansas,KS,41.04,57.16,-16.119999999999997
Kentucky,KY,33.94,64.47,-30.53
Louisiana,LA,38.21,60.22,-22.009999999999998
Massachusetts,MA,61.22,36.02,25.199999999999996
Maryland,MD,62.62,34.08,28.54
Maine,ME,52.4,45.46,6.939999999999998
Michigan,MI,48.31,49.73,-1.4199999999999946
Minnesota,MN,50.92,46.68,4.240000000000002
Missouri,MO,40.08,58.49,-18.410000000000004
Mississippi,MS,38.0,60.89,-22.89
Montana,MT,38.46,58.39,-19.93
North Carolina,NC,47.65,50.86,-3.210000000000001
North Dakota,ND,30.51,66.96,-36.44999999999999
Nebraska,NE,38.86,59.32,-20.46
New Hampshire,NH,50.65,47.87,2.780000000000001
New Jersey,NJ,51.97,46.06,5.909999999999997
New Mexico,NM,51.85,45.85,6.0
Nevada,NV,47.49,50.59,-3.1000000000000014
New York,NY,55.91,43.31,12.599999999999994
Ohio,OH,43.93,55.14,-11.21
Oklahoma,OK,31.9,66.16,-34.26
Oregon,OR,55.27,40.97,14.300000000000004
Pennsylvania,PA,48.66,50.37,-1.7100000000000009
Rhode Island,RI,55.54,41.76,13.780000000000001
South Carolina,SC,40.36,58.23,-17.869999999999997
South Dakota,SD,34.24,63.43,-29.189999999999998
Tennessee,TN,34.47,64.19,-29.72
Texas,TX,42.46,56.14,-13.68
Utah,UT,37.79,59.38,-21.590000000000003
Virginia,VA,51.83,46.05,5.780000000000001
Vermont,VT,63.83,32.32,31.509999999999998
Washington,WA,57.23,39.01,18.22
Wisconsin,WI,48.74,49.6,-0.8599999999999994
West Virginia,WV,28.1,69.97,-41.87
Wyoming,WY,25.84,71.6,-45.75999999999999
