layer,topic,volume,stance_bias,x,y,radius
Kamala Harris,Wokeness,713.0,0.34081346423562414,-3.8,-1.0,0.31931764705882354
Kamala Harris,Democratic concerns,309.0,0.2621359223300971,-3.8,0.1499999999999999,0.23376470588235296
Kamala Harris,Economy,1094.0,0.2595978062157221,-4.795929214352104,-1.5750000000000002,0.4
Kamala Harris,Immigration,244.0,-0.18442622950819673,-2.804070785647896,-1.5750000000000006,0.22
Public Reaction,Wokeness,19949349.0,-0.4045568983814843,0.0,1.7,0.4
Public Reaction,Democratic concerns,18180447.0,-0.03842586930404765,7.04171909509728e-17,2.8499999999999996,0.37861992074119566
Public Reaction,Economy,7355218.0,-0.17981628665869767,-0.9959292143521044,1.125,0.24777928965213178
Public Reaction,Immigration,5056871.0,-0.6555128671931565,0.995929214352104,1.1249999999999996,0.22
Donald Trump,Wokeness,2015.0,-0.5804369414101291,3.8,-1.0,0.2512482065997131
Donald Trump,Democratic concerns,1410.0,-0.5531914893617021,3.8,0.1499999999999999,0.22
Donald Trump,Economy,4895.0,0.004290091930541369,2.8040707856478955,-1.5750000000000002,0.4
Donald Trump,Immigration,3933.0,-0.9359267734553776,4.795929214352104,-1.5750000000000006,0.35031276901004305
